sample	station	molecule	slope	site	paired_within_slope	paired_across_slope
EC-1A-D	1	DNA	AF	a	1	1
EC-1A-R	1	RNA	AF	a	1	1
EC-1B-D	1	DNA	AF	b	2	2
EC-1B-R	1	RNA	AF	b	2	2
EC-1C-D	1	DNA	AF	c	3	3
EC-1C-R	1	RNA	AF	c	3	3
EC-1D-D	1	DNA	AF	d	4	4
EC-1D-R	1	RNA	AF	d	4	4
EC-1E-D	1	DNA	AF	e	5	5
EC-1E-R	1	RNA	AF	e	5	5
EC-1F-D	1	DNA	AF	f	6	6
EC-1F-R	1	RNA	AF	f	6	6
EC-1G-D	1	DNA	AF	g	7	7
EC-1G-R	1	RNA	AF	g	7	7
EC-1H-D	1	DNA	AF	h	8	8
EC-1H-R	1	RNA	AF	h	8	8
EC-1I-D	1	DNA	AF	i	9	9
EC-1I-R	1	RNA	AF	i	9	9
EC-1J-D	1	DNA	AF	j	10	10
EC-1J-R	1	RNA	AF	j	10	10
EC-2A-D	2	DNA	AF	a	11	11
EC-2A-R	2	RNA	AF	a	11	11
EC-2B-D	2	DNA	AF	b	12	12
EC-2B-R	2	RNA	AF	b	12	12
EC-2C-D	2	DNA	AF	c	13	13
EC-2C-R	2	RNA	AF	c	13	13
EC-2D-D	2	DNA	AF	d	14	14
EC-2D-R	2	RNA	AF	d	14	14
EC-2E-D	2	DNA	AF	e	15	15
EC-2E-R	2	RNA	AF	e	15	15
EC-2F-D	2	DNA	AF	f	16	16
EC-2F-R	2	RNA	AF	f	16	16
EC-2G-D	2	DNA	AF	g	17	17
EC-2G-R	2	RNA	AF	g	17	17
EC-2H-D	2	DNA	AF	h	18	18
EC-2H-R	2	RNA	AF	h	18	18
EC-2I-D	2	DNA	AF	i	19	19
EC-2I-R	2	RNA	AF	i	19	19
EC-2J-D	2	DNA	AF	j	20	20
EC-2J-R	2	RNA	AF	j	20	20
EC-5A-D	5	DNA	EU	a	21	1
EC-5A-R	5	RNA	EU	a	21	1
EC-5B-D	5	DNA	EU	b	22	2
EC-5B-R	5	RNA	EU	b	22	2
EC-5C-D	5	DNA	EU	c	23	3
EC-5C-R	5	RNA	EU	c	23	3
EC-5D-D	5	DNA	EU	d	24	4
EC-5D-R	5	RNA	EU	d	24	4
EC-5E-D	5	DNA	EU	e	25	5
EC-5E-R	5	RNA	EU	e	25	5
EC-5F-D	5	DNA	EU	f	26	6
EC-5F-R	5	RNA	EU	f	26	6
EC-5G-D	5	DNA	EU	g	27	7
EC-5G-R	5	RNA	EU	g	27	7
EC-5H-D	5	DNA	EU	h	28	8
EC-5H-R	5	RNA	EU	h	28	8
EC-5I-D	5	DNA	EU	i	29	9
EC-5I-R	5	RNA	EU	i	29	9
EC-5J-D	5	DNA	EU	j	30	10
EC-5J-R	5	RNA	EU	j	30	10
EC-6A-D	6	DNA	EU	a	31	11
EC-6A-R	6	RNA	EU	a	31	11
EC-6B-D	6	DNA	EU	b	32	12
EC-6B-R	6	RNA	EU	b	32	12
EC-6C-D	6	DNA	EU	c	33	13
EC-6C-R	6	RNA	EU	c	33	13
EC-6D-D	6	DNA	EU	d	34	14
EC-6D-R	6	RNA	EU	d	34	14
EC-6E-D	6	DNA	EU	e	35	15
EC-6E-R	6	RNA	EU	e	35	15
EC-6F-D	6	DNA	EU	f	36	16
EC-6F-R	6	RNA	EU	f	36	16
EC-6G-D	6	DNA	EU	g	37	17
EC-6G-R	6	RNA	EU	g	37	17
EC-6H-D	6	DNA	EU	h	38	18
EC-6H-R	6	RNA	EU	h	38	18
EC-6I-D	6	DNA	EU	i	39	19
EC-6I-R	6	RNA	EU	i	39	19
EC-6J-D	6	DNA	EU	j	40	20
EC-6J-R	6	RNA	EU	j	40	20
